F1 - Bug ID,F2 - Bug severety,F3 - Bug labels,F4 - # Bug discussants,F4.1 - Bug discussant roles,F4.2 - Bug reporter role,F4.3 - Bug assignee role,F4.4 - Bug creator role,F8 - # Bug reopened,F9 - # Bug comments,F10 - # Bug comments after closing (first)
Elastic Search 8893,[None],"[['>bug', 'v2.0.0-beta1', 'v1.5.0', ':Search/Mapping', 'v1.4.3']]",[2],"[['not involved', 'core']]",['not involved'],['core'],['not involved'],[0],[1],[0]
Elastic Search 9317,[None],"[['>bug', ':Analytics/Aggregations']]",[3],"[['core', 'peripheral', 'not involved']]",['not involved'],['core'],['not involved'],[0],[3],[0]
NOVA 1294939,['Medium'],"[['in-stable-juno', 'nova-network']]",[2],"[['core', 'not involved']]",['core'],['core'],['core'],[0],[5],[1]
NOVA 1300788,['Medium'],"[['havana-backport-potential', 'in-stable-icehouse', 'vmware']]",[4],"[['core', 'not involved', 'peripheral', 'not involved']]",['not involved'],['not involved'],['not involved'],[0],[8],[4]
NOVA 1307791,['Medium'],"[['juno-backport-potential', 'volumes']]",[4],"[['not involved', 'not involved', 'not involved', 'core']]",['not involved'],['not involved'],['not involved'],[0],[5],[1]
NOVA 1314677,['Undecided'],"[['cells', 'in-stable-icehouse', 'patch', 'verification-done']]",[6],"[['peripheral', 'not involved', 'not involved', 'not involved', 'not involved', 'not involved']]",['not involved'],['not involved'],['not involved'],[0],[13],[9]
NOVA 1336127,"['High', 'Medium']","[['compute', 'icehouse-backport-potential', 'volumes'], []]","[3, 2]","[['peripheral', 'not involved', 'not involved'], ['not involved', 'peripheral']]","['peripheral', 'peripheral']","['not involved', None]","['peripheral', 'peripheral']","[0, 0]","[2, 3]","[0, 0]"
NOVA 1343080,['Low'],[['low-hanging-fruit']],[4],"[['core', 'core', 'not involved', 'not involved']]",['core'],['core'],['core'],[0],[5],[0]
NOVA 1367363,['Medium'],[['libvirt']],[2],"[['not involved', 'core']]",['core'],['core'],['core'],[0],[2],[0]
NOVA 1370177,"['Medium', 'Undecided']","[['ec2', 'volumes'], ['snapshots', 'volumes']]","[4, 3]","[['core', 'not involved', 'peripheral', 'core'], ['core', 'peripheral', 'core']]","['peripheral', 'core']","['core', 'core']","['peripheral', 'core']","[0, 0]","[13, 4]","[1, 0]"
NOVA 1370590,"['High', 'Medium']","[['libvirt', 'lxc'], ['libvirt', 'lxc']]","[5, 3]","[['not involved', 'core', 'core', 'core', 'not involved'], ['not involved', 'peripheral', 'not involved']]","['core', 'not involved']","['core', 'peripheral']","['core', 'not involved']","[1, 0]","[22, 3]","[16, 0]"
NOVA 1371677,"['Critical', 'High', 'Undecided']","[['compute', 'libvirt', 'volumes'], [], ['libvirt', 'lvm']]","[8, 2, 2]","[['core', 'core', 'peripheral', 'core', 'core', 'not involved', 'core', 'not involved'], ['core', 'core'], ['not involved', 'not involved']]","['peripheral', 'core', 'not involved']","['not involved', None, 'not involved']","['peripheral', 'core', 'not involved']","[0, 0, 0]","[32, 2, 5]","[4, 0, 0]"
NOVA 1375379,['Undecided'],[['console']],[2],"[['not involved', 'core']]",['core'],['core'],['core'],[0],[2],[0]
NOVA 1381468,['High'],"[['in-stable-icehouse', 'in-stable-juno', 'low-hanging-fruit', 'nova']]",[2],"[['not involved', 'not involved']]",['not involved'],['not involved'],['not involved'],[0],[7],[4]
NOVA 1392798,['Undecided'],[[]],[2],"[['not involved', 'peripheral']]",['peripheral'],['peripheral'],['peripheral'],[0],[2],[0]
NOVA 1402535,['Low'],"[['libvirt', 'volumes']]",[3],"[['not involved', 'not involved', 'not involved']]",['not involved'],['not involved'],['not involved'],[0],[4],[0]
NOVA 1402728,['High'],[['vmware']],[2],"[['not involved', 'not involved']]",['not involved'],['not involved'],['not involved'],[0],[3],[0]
NOVA 1403544,['Medium'],[['compute']],[2],"[['not involved', 'peripheral']]",['peripheral'],['peripheral'],['peripheral'],[0],[7],[2]
NOVA 1419002,['Low'],[[]],[3],"[['not involved', 'not involved', 'peripheral']]",['not involved'],['peripheral'],['not involved'],[0],[2],[0]
NOVA 1424647,"['Low', 'Medium']","[[], []]","[2, 3]","[['not involved', 'not involved'], ['not involved', 'not involved', 'peripheral']]","['not involved', 'peripheral']","['not involved', 'peripheral']","['not involved', 'peripheral']","[0, 0]","[2, 3]","[0, 0]"
NOVA 1434855,['Medium'],[['documentation']],[2],"[['core', 'not involved']]",['core'],['core'],['core'],[0],[2],[0]
NOVA 1437855,['Medium'],"[['api', 'in-stable-kilo', 'network']]",[3],"[['not involved', 'not involved', 'peripheral']]",['peripheral'],['peripheral'],['peripheral'],[0],[5],[0]
NOVA 1438331,['Medium'],[['ceph']],[3],"[['peripheral', 'not involved', 'peripheral']]",['peripheral'],['peripheral'],['peripheral'],[0],[4],[2]
NOVA 1441000,['Undecided'],[['libvirt']],[3],"[['core', 'not involved', 'not involved']]",['core'],['core'],['core'],[0],[4],[0]
NOVA 1443697,['Medium'],[['vmware']],[2],"[['not involved', 'core']]",['core'],['core'],['core'],[0],[2],[0]
NOVA 1443970,"['Medium', 'Undecided']","[['network', 'nova-manage'], []]","[3, 2]","[['core', 'not involved', 'core'], ['not involved', 'not involved']]","['core', 'not involved']","['core', 'not involved']","['core', 'not involved']","[0, 0]","[4, 5]","[2, 0]"
NOVA 1447249,['Medium'],"[['in-stable-kilo', 'ironic']]",[2],"[['not involved', 'peripheral']]",['peripheral'],['peripheral'],['peripheral'],[0],[4],[0]
NOVA 1453274,['Medium'],[[]],[2],"[['peripheral', 'not involved']]",['peripheral'],['peripheral'],['peripheral'],[0],[6],[0]
NOVA 1466390,['High'],[[]],[2],"[['not involved', 'core']]",['core'],['core'],['core'],[0],[2],[0]
NOVA 1467451,['Low'],"[['hyper-v', 'in-stable-kilo', 'kilo-backport-potential']]",[2],"[['not involved', 'peripheral']]",['peripheral'],['peripheral'],['peripheral'],[0],[3],[0]
NOVA 1475356,['High'],"[['kilo-backport-potential', 'unified-objects']]",[4],"[['not involved', 'core', 'not involved', 'core']]",['not involved'],['core'],['not involved'],[0],[6],[1]
NOVA 1475911,['Low'],"[['cmd-tools', 'containers']]",[4],"[['not involved', 'not involved', 'core', 'peripheral']]",['peripheral'],['peripheral'],['peripheral'],[0],[7],[0]
NOVA 1481078,['Undecided'],[[]],[3],"[['not involved', 'not involved', 'not involved']]",['not involved'],['not involved'],['not involved'],[0],[2],[0]
NOVA 1486541,['Medium'],[['cells']],[2],"[['not involved', 'core']]",['core'],['core'],['core'],[0],[2],[0]
NOVA 1505471,['High'],"[['conductor', 'db', 'in-stable-liberty']]",[5],"[['peripheral', 'peripheral', 'not involved', 'peripheral', 'not involved']]",['peripheral'],['peripheral'],['peripheral'],[0],[8],[3]
