A1	A2	B1	B2	Variable A	Variable B	Group	Group (base)	Method	Combination	ID A	ID B
I	9.0	F	9.0	I9 - Introducing issue reopened [any]	F9 - # Bug comments [sum]	E	E	boxplots	IF	I9	F9
I	9.0	I	5.0	I9 - Introducing issue reopened [any]	I5 - # Introducing issue discussants [sum]	E	E	boxplots	II	I9	I5
I	9.0	I	7.0	I9 - Introducing issue reopened [any]	I7 - # Introducing issue commits [sum]	E	E	boxplots	II	I9	I7
I	9.0	I	10.0	I9 - Introducing issue reopened [any]	I10 - # Introducing issue comments [sum]	E	E	boxplots	II	I9	I10
I	9.0	ML	2.0	I9 - Introducing issue reopened [any]	ML2 - # ML bug discussants [sum]	E	E	boxplots	IML	I9	ML2
I	9.0	ML	5.0	I9 - Introducing issue reopened [any]	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	IML	I9	ML5
I	9.0	O	3.0	I9 - Introducing issue reopened [any]	O3 - # Discussants in other media [sum]	E	E	boxplots	IO	I9	O3
I	9.0	R	3.0	I9 - Introducing issue reopened [any]	R3 - # Reviewers [sum]	E	E	boxplots	IR	I9	R3
I	9.0	R	5.0	I9 - Introducing issue reopened [any]	R5 - # Review comments [sum]	E	E	boxplots	IR	I9	R5
I	9.0	R	6.0	I9 - Introducing issue reopened [any]	R6 - # Rounds of code review [sum]	E	E	boxplots	IR	I9	R6
ML	2.1	C	3.0	ML2.1 - ML bug discussant roles	C3 - # Files changed	E	E	boxplots	MLC	ML2	C3
ML	2.1	C	4.0	ML2.1 - ML bug discussant roles	C4 - Commit file bugginess	E	E	boxplots	MLC	ML2	C4
ML	2.1	C	5.0	ML2.1 - ML bug discussant roles	C5 - Commit total line bugginess	E	E	boxplots	MLC	ML2	C5
ML	2.1	C	6.0	ML2.1 - ML bug discussant roles	C6 - Commit file line bugginess	E	E	boxplots	MLC	ML2	C6
ML	2.1	F	4.0	ML2.1 - ML bug discussant roles	F4 - # Bug discussants	E	E	boxplots	MLF	ML2	F4
ML	2.1	F	9.0	ML2.1 - ML bug discussant roles	F9 - # Bug comments [sum]	E	E	boxplots	MLF	ML2	F9
ML	2.1	I	5.0	ML2.1 - ML bug discussant roles	I5 - # Introducing issue discussants [sum]	E	E	boxplots	MLI	ML2	I5
ML	2.1	I	7.0	ML2.1 - ML bug discussant roles	I7 - # Introducing issue commits [sum]	E	E	boxplots	MLI	ML2	I7
ML	2.1	I	10.0	ML2.1 - ML bug discussant roles	I10 - # Introducing issue comments [sum]	E	E	boxplots	MLI	ML2	I10
ML	2.1	ML	2.0	ML2.1 - ML bug discussant roles	ML2 - # ML bug discussants [sum]	E	E	boxplots	MLML	ML2	ML2
ML	2.1	ML	5.0	ML2.1 - ML bug discussant roles	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	MLML	ML2	ML5
ML	2.1	O	3.0	ML2.1 - ML bug discussant roles	O3 - # Discussants in other media [sum]	E	E	boxplots	MLO	ML2	O3
ML	2.1	R	3.0	ML2.1 - ML bug discussant roles	R3 - # Reviewers [sum]	E	E	boxplots	MLR	ML2	R3
ML	2.1	R	5.0	ML2.1 - ML bug discussant roles	R5 - # Review comments [sum]	E	E	boxplots	MLR	ML2	R5
ML	2.1	R	6.0	ML2.1 - ML bug discussant roles	R6 - # Rounds of code review [sum]	E	E	boxplots	MLR	ML2	R6
ML	3.0	C	3.0	ML3 - Aspects of ML bug discussion: action	C3 - # Files changed	E	E	boxplots	MLC	ML3	C3
ML	3.0	C	3.0	ML3 - Aspects of ML bug discussion: target	C3 - # Files changed	E	E	boxplots	MLC	ML3	C3
ML	3.0	C	3.0	ML3 - Aspects of ML bug discussion: topic	C3 - # Files changed	E	E	boxplots	MLC	ML3	C3
ML	3.0	C	4.0	ML3 - Aspects of ML bug discussion: action	C4 - Commit file bugginess	E	E	boxplots	MLC	ML3	C4
ML	3.0	C	4.0	ML3 - Aspects of ML bug discussion: target	C4 - Commit file bugginess	E	E	boxplots	MLC	ML3	C4
ML	3.0	C	4.0	ML3 - Aspects of ML bug discussion: topic	C4 - Commit file bugginess	E	E	boxplots	MLC	ML3	C4
ML	3.0	C	5.0	ML3 - Aspects of ML bug discussion: action	C5 - Commit total line bugginess	E	E	boxplots	MLC	ML3	C5
ML	3.0	C	5.0	ML3 - Aspects of ML bug discussion: target	C5 - Commit total line bugginess	E	E	boxplots	MLC	ML3	C5
ML	3.0	C	5.0	ML3 - Aspects of ML bug discussion: topic	C5 - Commit total line bugginess	E	E	boxplots	MLC	ML3	C5
ML	3.0	C	6.0	ML3 - Aspects of ML bug discussion: action	C6 - Commit file line bugginess	E	E	boxplots	MLC	ML3	C6
ML	3.0	C	6.0	ML3 - Aspects of ML bug discussion: target	C6 - Commit file line bugginess	E	E	boxplots	MLC	ML3	C6
ML	3.0	C	6.0	ML3 - Aspects of ML bug discussion: topic	C6 - Commit file line bugginess	E	E	boxplots	MLC	ML3	C6
ML	3.0	F	4.0	ML3 - Aspects of ML bug discussion: action	F4 - # Bug discussants	E	E	boxplots	MLF	ML3	F4
ML	3.0	F	4.0	ML3 - Aspects of ML bug discussion: target	F4 - # Bug discussants	E	E	boxplots	MLF	ML3	F4
ML	3.0	F	4.0	ML3 - Aspects of ML bug discussion: topic	F4 - # Bug discussants	E	E	boxplots	MLF	ML3	F4
ML	3.0	F	9.0	ML3 - Aspects of ML bug discussion: action	F9 - # Bug comments [sum]	E	E	boxplots	MLF	ML3	F9
ML	3.0	F	9.0	ML3 - Aspects of ML bug discussion: target	F9 - # Bug comments [sum]	E	E	boxplots	MLF	ML3	F9
ML	3.0	F	9.0	ML3 - Aspects of ML bug discussion: topic	F9 - # Bug comments [sum]	E	E	boxplots	MLF	ML3	F9
ML	3.0	I	5.0	ML3 - Aspects of ML bug discussion: action	I5 - # Introducing issue discussants [sum]	E	E	boxplots	MLI	ML3	I5
ML	3.0	I	5.0	ML3 - Aspects of ML bug discussion: target	I5 - # Introducing issue discussants [sum]	E	E	boxplots	MLI	ML3	I5
ML	3.0	I	5.0	ML3 - Aspects of ML bug discussion: topic	I5 - # Introducing issue discussants [sum]	E	E	boxplots	MLI	ML3	I5
ML	3.0	I	7.0	ML3 - Aspects of ML bug discussion: action	I7 - # Introducing issue commits [sum]	E	E	boxplots	MLI	ML3	I7
ML	3.0	I	7.0	ML3 - Aspects of ML bug discussion: target	I7 - # Introducing issue commits [sum]	E	E	boxplots	MLI	ML3	I7
ML	3.0	I	7.0	ML3 - Aspects of ML bug discussion: topic	I7 - # Introducing issue commits [sum]	E	E	boxplots	MLI	ML3	I7
ML	3.0	I	10.0	ML3 - Aspects of ML bug discussion: action	I10 - # Introducing issue comments [sum]	E	E	boxplots	MLI	ML3	I10
ML	3.0	I	10.0	ML3 - Aspects of ML bug discussion: target	I10 - # Introducing issue comments [sum]	E	E	boxplots	MLI	ML3	I10
ML	3.0	I	10.0	ML3 - Aspects of ML bug discussion: topic	I10 - # Introducing issue comments [sum]	E	E	boxplots	MLI	ML3	I10
ML	3.0	ML	2.0	ML3 - Aspects of ML bug discussion: action	ML2 - # ML bug discussants [sum]	E	E	boxplots	MLML	ML3	ML2
ML	3.0	ML	2.0	ML3 - Aspects of ML bug discussion: target	ML2 - # ML bug discussants [sum]	E	E	boxplots	MLML	ML3	ML2
ML	3.0	ML	2.0	ML3 - Aspects of ML bug discussion: topic	ML2 - # ML bug discussants [sum]	E	E	boxplots	MLML	ML3	ML2
ML	3.0	ML	5.0	ML3 - Aspects of ML bug discussion: action	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	MLML	ML3	ML5
ML	3.0	ML	5.0	ML3 - Aspects of ML bug discussion: target	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	MLML	ML3	ML5
ML	3.0	ML	5.0	ML3 - Aspects of ML bug discussion: topic	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	MLML	ML3	ML5
ML	3.0	O	3.0	ML3 - Aspects of ML bug discussion: action	O3 - # Discussants in other media [sum]	E	E	boxplots	MLO	ML3	O3
ML	3.0	O	3.0	ML3 - Aspects of ML bug discussion: target	O3 - # Discussants in other media [sum]	E	E	boxplots	MLO	ML3	O3
ML	3.0	O	3.0	ML3 - Aspects of ML bug discussion: topic	O3 - # Discussants in other media [sum]	E	E	boxplots	MLO	ML3	O3
ML	3.0	R	3.0	ML3 - Aspects of ML bug discussion: action	R3 - # Reviewers [sum]	E	E	boxplots	MLR	ML3	R3
ML	3.0	R	3.0	ML3 - Aspects of ML bug discussion: target	R3 - # Reviewers [sum]	E	E	boxplots	MLR	ML3	R3
ML	3.0	R	3.0	ML3 - Aspects of ML bug discussion: topic	R3 - # Reviewers [sum]	E	E	boxplots	MLR	ML3	R3
ML	3.0	R	5.0	ML3 - Aspects of ML bug discussion: action	R5 - # Review comments [sum]	E	E	boxplots	MLR	ML3	R5
ML	3.0	R	5.0	ML3 - Aspects of ML bug discussion: target	R5 - # Review comments [sum]	E	E	boxplots	MLR	ML3	R5
ML	3.0	R	5.0	ML3 - Aspects of ML bug discussion: topic	R5 - # Review comments [sum]	E	E	boxplots	MLR	ML3	R5
ML	3.0	R	6.0	ML3 - Aspects of ML bug discussion: action	R6 - # Rounds of code review [sum]	E	E	boxplots	MLR	ML3	R6
ML	3.0	R	6.0	ML3 - Aspects of ML bug discussion: target	R6 - # Rounds of code review [sum]	E	E	boxplots	MLR	ML3	R6
ML	3.0	R	6.0	ML3 - Aspects of ML bug discussion: topic	R6 - # Rounds of code review [sum]	E	E	boxplots	MLR	ML3	R6
ML	5.1	C	3.0	ML5.1 - ML introducing change discussant roles	C3 - # Files changed	E	E	boxplots	MLC	ML5	C3
ML	5.1	C	4.0	ML5.1 - ML introducing change discussant roles	C4 - Commit file bugginess	E	E	boxplots	MLC	ML5	C4
ML	5.1	C	5.0	ML5.1 - ML introducing change discussant roles	C5 - Commit total line bugginess	E	E	boxplots	MLC	ML5	C5
ML	5.1	C	6.0	ML5.1 - ML introducing change discussant roles	C6 - Commit file line bugginess	E	E	boxplots	MLC	ML5	C6
ML	5.1	F	4.0	ML5.1 - ML introducing change discussant roles	F4 - # Bug discussants	E	E	boxplots	MLF	ML5	F4
ML	5.1	F	9.0	ML5.1 - ML introducing change discussant roles	F9 - # Bug comments [sum]	E	E	boxplots	MLF	ML5	F9
ML	5.1	I	5.0	ML5.1 - ML introducing change discussant roles	I5 - # Introducing issue discussants [sum]	E	E	boxplots	MLI	ML5	I5
ML	5.1	I	7.0	ML5.1 - ML introducing change discussant roles	I7 - # Introducing issue commits [sum]	E	E	boxplots	MLI	ML5	I7
ML	5.1	I	10.0	ML5.1 - ML introducing change discussant roles	I10 - # Introducing issue comments [sum]	E	E	boxplots	MLI	ML5	I10
ML	5.1	ML	2.0	ML5.1 - ML introducing change discussant roles	ML2 - # ML bug discussants [sum]	E	E	boxplots	MLML	ML5	ML2
ML	5.1	ML	5.0	ML5.1 - ML introducing change discussant roles	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	MLML	ML5	ML5
ML	5.1	O	3.0	ML5.1 - ML introducing change discussant roles	O3 - # Discussants in other media [sum]	E	E	boxplots	MLO	ML5	O3
ML	5.1	R	3.0	ML5.1 - ML introducing change discussant roles	R3 - # Reviewers [sum]	E	E	boxplots	MLR	ML5	R3
ML	5.1	R	5.0	ML5.1 - ML introducing change discussant roles	R5 - # Review comments [sum]	E	E	boxplots	MLR	ML5	R5
ML	5.1	R	6.0	ML5.1 - ML introducing change discussant roles	R6 - # Rounds of code review [sum]	E	E	boxplots	MLR	ML5	R6
ML	6.0	C	3.0	ML6 - Aspects of ML introducing change discussion: action	C3 - # Files changed	E	E	boxplots	MLC	ML6	C3
ML	6.0	C	3.0	ML6 - Aspects of ML introducing change discussion: target	C3 - # Files changed	E	E	boxplots	MLC	ML6	C3
ML	6.0	C	3.0	ML6 - Aspects of ML introducing change discussion: topic	C3 - # Files changed	E	E	boxplots	MLC	ML6	C3
ML	6.0	C	4.0	ML6 - Aspects of ML introducing change discussion: action	C4 - Commit file bugginess	E	E	boxplots	MLC	ML6	C4
ML	6.0	C	4.0	ML6 - Aspects of ML introducing change discussion: target	C4 - Commit file bugginess	E	E	boxplots	MLC	ML6	C4
ML	6.0	C	4.0	ML6 - Aspects of ML introducing change discussion: topic	C4 - Commit file bugginess	E	E	boxplots	MLC	ML6	C4
ML	6.0	C	5.0	ML6 - Aspects of ML introducing change discussion: action	C5 - Commit total line bugginess	E	E	boxplots	MLC	ML6	C5
ML	6.0	C	5.0	ML6 - Aspects of ML introducing change discussion: target	C5 - Commit total line bugginess	E	E	boxplots	MLC	ML6	C5
ML	6.0	C	5.0	ML6 - Aspects of ML introducing change discussion: topic	C5 - Commit total line bugginess	E	E	boxplots	MLC	ML6	C5
ML	6.0	C	6.0	ML6 - Aspects of ML introducing change discussion: action	C6 - Commit file line bugginess	E	E	boxplots	MLC	ML6	C6
ML	6.0	C	6.0	ML6 - Aspects of ML introducing change discussion: target	C6 - Commit file line bugginess	E	E	boxplots	MLC	ML6	C6
ML	6.0	C	6.0	ML6 - Aspects of ML introducing change discussion: topic	C6 - Commit file line bugginess	E	E	boxplots	MLC	ML6	C6
ML	6.0	F	4.0	ML6 - Aspects of ML introducing change discussion: action	F4 - # Bug discussants	E	E	boxplots	MLF	ML6	F4
ML	6.0	F	4.0	ML6 - Aspects of ML introducing change discussion: target	F4 - # Bug discussants	E	E	boxplots	MLF	ML6	F4
ML	6.0	F	4.0	ML6 - Aspects of ML introducing change discussion: topic	F4 - # Bug discussants	E	E	boxplots	MLF	ML6	F4
ML	6.0	F	9.0	ML6 - Aspects of ML introducing change discussion: action	F9 - # Bug comments [sum]	E	E	boxplots	MLF	ML6	F9
ML	6.0	F	9.0	ML6 - Aspects of ML introducing change discussion: target	F9 - # Bug comments [sum]	E	E	boxplots	MLF	ML6	F9
ML	6.0	F	9.0	ML6 - Aspects of ML introducing change discussion: topic	F9 - # Bug comments [sum]	E	E	boxplots	MLF	ML6	F9
ML	6.0	I	5.0	ML6 - Aspects of ML introducing change discussion: action	I5 - # Introducing issue discussants [sum]	E	E	boxplots	MLI	ML6	I5
ML	6.0	I	5.0	ML6 - Aspects of ML introducing change discussion: target	I5 - # Introducing issue discussants [sum]	E	E	boxplots	MLI	ML6	I5
ML	6.0	I	5.0	ML6 - Aspects of ML introducing change discussion: topic	I5 - # Introducing issue discussants [sum]	E	E	boxplots	MLI	ML6	I5
ML	6.0	I	7.0	ML6 - Aspects of ML introducing change discussion: action	I7 - # Introducing issue commits [sum]	E	E	boxplots	MLI	ML6	I7
ML	6.0	I	7.0	ML6 - Aspects of ML introducing change discussion: target	I7 - # Introducing issue commits [sum]	E	E	boxplots	MLI	ML6	I7
ML	6.0	I	7.0	ML6 - Aspects of ML introducing change discussion: topic	I7 - # Introducing issue commits [sum]	E	E	boxplots	MLI	ML6	I7
ML	6.0	I	10.0	ML6 - Aspects of ML introducing change discussion: action	I10 - # Introducing issue comments [sum]	E	E	boxplots	MLI	ML6	I10
ML	6.0	I	10.0	ML6 - Aspects of ML introducing change discussion: target	I10 - # Introducing issue comments [sum]	E	E	boxplots	MLI	ML6	I10
ML	6.0	I	10.0	ML6 - Aspects of ML introducing change discussion: topic	I10 - # Introducing issue comments [sum]	E	E	boxplots	MLI	ML6	I10
ML	6.0	ML	2.0	ML6 - Aspects of ML introducing change discussion: action	ML2 - # ML bug discussants [sum]	E	E	boxplots	MLML	ML6	ML2
ML	6.0	ML	2.0	ML6 - Aspects of ML introducing change discussion: target	ML2 - # ML bug discussants [sum]	E	E	boxplots	MLML	ML6	ML2
ML	6.0	ML	2.0	ML6 - Aspects of ML introducing change discussion: topic	ML2 - # ML bug discussants [sum]	E	E	boxplots	MLML	ML6	ML2
ML	6.0	ML	5.0	ML6 - Aspects of ML introducing change discussion: action	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	MLML	ML6	ML5
ML	6.0	ML	5.0	ML6 - Aspects of ML introducing change discussion: target	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	MLML	ML6	ML5
ML	6.0	ML	5.0	ML6 - Aspects of ML introducing change discussion: topic	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	MLML	ML6	ML5
ML	6.0	O	3.0	ML6 - Aspects of ML introducing change discussion: action	O3 - # Discussants in other media [sum]	E	E	boxplots	MLO	ML6	O3
ML	6.0	O	3.0	ML6 - Aspects of ML introducing change discussion: target	O3 - # Discussants in other media [sum]	E	E	boxplots	MLO	ML6	O3
ML	6.0	O	3.0	ML6 - Aspects of ML introducing change discussion: topic	O3 - # Discussants in other media [sum]	E	E	boxplots	MLO	ML6	O3
ML	6.0	R	3.0	ML6 - Aspects of ML introducing change discussion: action	R3 - # Reviewers [sum]	E	E	boxplots	MLR	ML6	R3
ML	6.0	R	3.0	ML6 - Aspects of ML introducing change discussion: target	R3 - # Reviewers [sum]	E	E	boxplots	MLR	ML6	R3
ML	6.0	R	3.0	ML6 - Aspects of ML introducing change discussion: topic	R3 - # Reviewers [sum]	E	E	boxplots	MLR	ML6	R3
ML	6.0	R	5.0	ML6 - Aspects of ML introducing change discussion: action	R5 - # Review comments [sum]	E	E	boxplots	MLR	ML6	R5
ML	6.0	R	5.0	ML6 - Aspects of ML introducing change discussion: target	R5 - # Review comments [sum]	E	E	boxplots	MLR	ML6	R5
ML	6.0	R	5.0	ML6 - Aspects of ML introducing change discussion: topic	R5 - # Review comments [sum]	E	E	boxplots	MLR	ML6	R5
ML	6.0	R	6.0	ML6 - Aspects of ML introducing change discussion: action	R6 - # Rounds of code review [sum]	E	E	boxplots	MLR	ML6	R6
ML	6.0	R	6.0	ML6 - Aspects of ML introducing change discussion: target	R6 - # Rounds of code review [sum]	E	E	boxplots	MLR	ML6	R6
ML	6.0	R	6.0	ML6 - Aspects of ML introducing change discussion: topic	R6 - # Rounds of code review [sum]	E	E	boxplots	MLR	ML6	R6
O	2.0	C	3.0	O2 - Type of other media in which bug was discussed	C3 - # Files changed	E	E	boxplots	OC	O2	C3
O	2.0	C	4.0	O2 - Type of other media in which bug was discussed	C4 - Commit file bugginess	E	E	boxplots	OC	O2	C4
O	2.0	C	5.0	O2 - Type of other media in which bug was discussed	C5 - Commit total line bugginess	E	E	boxplots	OC	O2	C5
O	2.0	C	6.0	O2 - Type of other media in which bug was discussed	C6 - Commit file line bugginess	E	E	boxplots	OC	O2	C6
O	2.0	F	4.0	O2 - Type of other media in which bug was discussed	F4 - # Bug discussants	E	E	boxplots	OF	O2	F4
O	2.0	F	9.0	O2 - Type of other media in which bug was discussed	F9 - # Bug comments [sum]	E	E	boxplots	OF	O2	F9
O	2.0	I	5.0	O2 - Type of other media in which bug was discussed	I5 - # Introducing issue discussants [sum]	E	E	boxplots	OI	O2	I5
O	2.0	I	7.0	O2 - Type of other media in which bug was discussed	I7 - # Introducing issue commits [sum]	E	E	boxplots	OI	O2	I7
O	2.0	I	10.0	O2 - Type of other media in which bug was discussed	I10 - # Introducing issue comments [sum]	E	E	boxplots	OI	O2	I10
O	2.0	ML	2.0	O2 - Type of other media in which bug was discussed	ML2 - # ML bug discussants [sum]	E	E	boxplots	OML	O2	ML2
O	2.0	ML	5.0	O2 - Type of other media in which bug was discussed	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	OML	O2	ML5
O	2.0	O	3.0	O2 - Type of other media in which bug was discussed	O3 - # Discussants in other media [sum]	E	E	boxplots	OO	O2	O3
O	2.0	R	3.0	O2 - Type of other media in which bug was discussed	R3 - # Reviewers [sum]	E	E	boxplots	OR	O2	R3
O	2.0	R	5.0	O2 - Type of other media in which bug was discussed	R5 - # Review comments [sum]	E	E	boxplots	OR	O2	R5
O	2.0	R	6.0	O2 - Type of other media in which bug was discussed	R6 - # Rounds of code review [sum]	E	E	boxplots	OR	O2	R6
O	3.1	C	3.0	O3.1 - Discussant roles in other media	C3 - # Files changed	E	E	boxplots	OC	O3	C3
O	3.1	C	4.0	O3.1 - Discussant roles in other media	C4 - Commit file bugginess	E	E	boxplots	OC	O3	C4
O	3.1	C	5.0	O3.1 - Discussant roles in other media	C5 - Commit total line bugginess	E	E	boxplots	OC	O3	C5
O	3.1	C	6.0	O3.1 - Discussant roles in other media	C6 - Commit file line bugginess	E	E	boxplots	OC	O3	C6
O	3.1	F	4.0	O3.1 - Discussant roles in other media	F4 - # Bug discussants	E	E	boxplots	OF	O3	F4
O	3.1	F	9.0	O3.1 - Discussant roles in other media	F9 - # Bug comments [sum]	E	E	boxplots	OF	O3	F9
O	3.1	I	5.0	O3.1 - Discussant roles in other media	I5 - # Introducing issue discussants [sum]	E	E	boxplots	OI	O3	I5
O	3.1	I	7.0	O3.1 - Discussant roles in other media	I7 - # Introducing issue commits [sum]	E	E	boxplots	OI	O3	I7
O	3.1	I	10.0	O3.1 - Discussant roles in other media	I10 - # Introducing issue comments [sum]	E	E	boxplots	OI	O3	I10
O	3.1	ML	2.0	O3.1 - Discussant roles in other media	ML2 - # ML bug discussants [sum]	E	E	boxplots	OML	O3	ML2
O	3.1	ML	5.0	O3.1 - Discussant roles in other media	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	OML	O3	ML5
O	3.1	O	3.0	O3.1 - Discussant roles in other media	O3 - # Discussants in other media [sum]	E	E	boxplots	OO	O3	O3
O	3.1	R	3.0	O3.1 - Discussant roles in other media	R3 - # Reviewers [sum]	E	E	boxplots	OR	O3	R3
O	3.1	R	5.0	O3.1 - Discussant roles in other media	R5 - # Review comments [sum]	E	E	boxplots	OR	O3	R5
O	3.1	R	6.0	O3.1 - Discussant roles in other media	R6 - # Rounds of code review [sum]	E	E	boxplots	OR	O3	R6
O	4.0	C	3.0	O4 - Aspects of discussions in other media: action	C3 - # Files changed	E	E	boxplots	OC	O4	C3
O	4.0	C	3.0	O4 - Aspects of discussions in other media: target	C3 - # Files changed	E	E	boxplots	OC	O4	C3
O	4.0	C	3.0	O4 - Aspects of discussions in other media: topic	C3 - # Files changed	E	E	boxplots	OC	O4	C3
O	4.0	C	4.0	O4 - Aspects of discussions in other media: action	C4 - Commit file bugginess	E	E	boxplots	OC	O4	C4
O	4.0	C	4.0	O4 - Aspects of discussions in other media: target	C4 - Commit file bugginess	E	E	boxplots	OC	O4	C4
O	4.0	C	4.0	O4 - Aspects of discussions in other media: topic	C4 - Commit file bugginess	E	E	boxplots	OC	O4	C4
O	4.0	C	5.0	O4 - Aspects of discussions in other media: action	C5 - Commit total line bugginess	E	E	boxplots	OC	O4	C5
O	4.0	C	5.0	O4 - Aspects of discussions in other media: target	C5 - Commit total line bugginess	E	E	boxplots	OC	O4	C5
O	4.0	C	5.0	O4 - Aspects of discussions in other media: topic	C5 - Commit total line bugginess	E	E	boxplots	OC	O4	C5
O	4.0	C	6.0	O4 - Aspects of discussions in other media: action	C6 - Commit file line bugginess	E	E	boxplots	OC	O4	C6
O	4.0	C	6.0	O4 - Aspects of discussions in other media: target	C6 - Commit file line bugginess	E	E	boxplots	OC	O4	C6
O	4.0	C	6.0	O4 - Aspects of discussions in other media: topic	C6 - Commit file line bugginess	E	E	boxplots	OC	O4	C6
O	4.0	F	4.0	O4 - Aspects of discussions in other media: action	F4 - # Bug discussants	E	E	boxplots	OF	O4	F4
O	4.0	F	4.0	O4 - Aspects of discussions in other media: target	F4 - # Bug discussants	E	E	boxplots	OF	O4	F4
O	4.0	F	4.0	O4 - Aspects of discussions in other media: topic	F4 - # Bug discussants	E	E	boxplots	OF	O4	F4
O	4.0	F	9.0	O4 - Aspects of discussions in other media: action	F9 - # Bug comments [sum]	E	E	boxplots	OF	O4	F9
O	4.0	F	9.0	O4 - Aspects of discussions in other media: target	F9 - # Bug comments [sum]	E	E	boxplots	OF	O4	F9
O	4.0	F	9.0	O4 - Aspects of discussions in other media: topic	F9 - # Bug comments [sum]	E	E	boxplots	OF	O4	F9
O	4.0	I	5.0	O4 - Aspects of discussions in other media: action	I5 - # Introducing issue discussants [sum]	E	E	boxplots	OI	O4	I5
O	4.0	I	5.0	O4 - Aspects of discussions in other media: target	I5 - # Introducing issue discussants [sum]	E	E	boxplots	OI	O4	I5
O	4.0	I	5.0	O4 - Aspects of discussions in other media: topic	I5 - # Introducing issue discussants [sum]	E	E	boxplots	OI	O4	I5
O	4.0	I	7.0	O4 - Aspects of discussions in other media: action	I7 - # Introducing issue commits [sum]	E	E	boxplots	OI	O4	I7
O	4.0	I	7.0	O4 - Aspects of discussions in other media: target	I7 - # Introducing issue commits [sum]	E	E	boxplots	OI	O4	I7
O	4.0	I	7.0	O4 - Aspects of discussions in other media: topic	I7 - # Introducing issue commits [sum]	E	E	boxplots	OI	O4	I7
O	4.0	I	10.0	O4 - Aspects of discussions in other media: action	I10 - # Introducing issue comments [sum]	E	E	boxplots	OI	O4	I10
O	4.0	I	10.0	O4 - Aspects of discussions in other media: target	I10 - # Introducing issue comments [sum]	E	E	boxplots	OI	O4	I10
O	4.0	I	10.0	O4 - Aspects of discussions in other media: topic	I10 - # Introducing issue comments [sum]	E	E	boxplots	OI	O4	I10
O	4.0	ML	2.0	O4 - Aspects of discussions in other media: action	ML2 - # ML bug discussants [sum]	E	E	boxplots	OML	O4	ML2
O	4.0	ML	2.0	O4 - Aspects of discussions in other media: target	ML2 - # ML bug discussants [sum]	E	E	boxplots	OML	O4	ML2
O	4.0	ML	2.0	O4 - Aspects of discussions in other media: topic	ML2 - # ML bug discussants [sum]	E	E	boxplots	OML	O4	ML2
O	4.0	ML	5.0	O4 - Aspects of discussions in other media: action	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	OML	O4	ML5
O	4.0	ML	5.0	O4 - Aspects of discussions in other media: target	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	OML	O4	ML5
O	4.0	ML	5.0	O4 - Aspects of discussions in other media: topic	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	OML	O4	ML5
O	4.0	O	3.0	O4 - Aspects of discussions in other media: action	O3 - # Discussants in other media [sum]	E	E	boxplots	OO	O4	O3
O	4.0	O	3.0	O4 - Aspects of discussions in other media: target	O3 - # Discussants in other media [sum]	E	E	boxplots	OO	O4	O3
O	4.0	O	3.0	O4 - Aspects of discussions in other media: topic	O3 - # Discussants in other media [sum]	E	E	boxplots	OO	O4	O3
O	4.0	R	3.0	O4 - Aspects of discussions in other media: action	R3 - # Reviewers [sum]	E	E	boxplots	OR	O4	R3
O	4.0	R	3.0	O4 - Aspects of discussions in other media: target	R3 - # Reviewers [sum]	E	E	boxplots	OR	O4	R3
O	4.0	R	3.0	O4 - Aspects of discussions in other media: topic	R3 - # Reviewers [sum]	E	E	boxplots	OR	O4	R3
O	4.0	R	5.0	O4 - Aspects of discussions in other media: action	R5 - # Review comments [sum]	E	E	boxplots	OR	O4	R5
O	4.0	R	5.0	O4 - Aspects of discussions in other media: target	R5 - # Review comments [sum]	E	E	boxplots	OR	O4	R5
O	4.0	R	5.0	O4 - Aspects of discussions in other media: topic	R5 - # Review comments [sum]	E	E	boxplots	OR	O4	R5
O	4.0	R	6.0	O4 - Aspects of discussions in other media: action	R6 - # Rounds of code review [sum]	E	E	boxplots	OR	O4	R6
O	4.0	R	6.0	O4 - Aspects of discussions in other media: target	R6 - # Rounds of code review [sum]	E	E	boxplots	OR	O4	R6
O	4.0	R	6.0	O4 - Aspects of discussions in other media: topic	R6 - # Rounds of code review [sum]	E	E	boxplots	OR	O4	R6
O	5.0	C	3.0	O5 - Buggy files arepresent in the BIC?	C3 - # Files changed	32	32	boxplots	OC	O5	C3
O	5.0	C	4.0	O5 - Buggy files arepresent in the BIC?	C4 - Commit file bugginess	32	32	boxplots	OC	O5	C4
O	5.0	C	5.0	O5 - Buggy files arepresent in the BIC?	C5 - Commit total line bugginess	32	32	boxplots	OC	O5	C5
