A1	A2	B1	B2	Variable A	Variable B	Group	Group (base)	Method	Combination	ID A	ID B
C	2.1	I	10.0	C2.1 - Commit type (current)	I10 - # Introducing issue comments [sum]	32 (pd)	32	boxplots	CI	C2	I10
C	2.1	ML	2.0	C2.1 - Commit type (current)	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C2	ML2
C	2.1	ML	5.0	C2.1 - Commit type (current)	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C2	ML5
C	2.1	O	3.0	C2.1 - Commit type (current)	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C2	O3
C	2.1	R	3.0	C2.1 - Commit type (current)	R3 - # Reviewers [sum]	32 (pd)	32	boxplots	CR	C2	R3
C	2.1	R	5.0	C2.1 - Commit type (current)	R5 - # Review comments [sum]	2.1 (pd, ovr)	2	boxplots	CR	C2	R5
C	2.1	R	6.0	C2.1 - Commit type (current)	R6 - # Rounds of code review [sum]	2.1 (pd, ovr)	2	boxplots	CR	C2	R6
C	2.2	C	3.0	C2.2 - Commit types (children)	C3 - # Files changed	3.3 (pd, ovr)	3	boxplots	CC	C2	C3
C	2.2	C	4.0	C2.2 - Commit types (children)	C4 - Commit file bugginess	32	32	boxplots	CC	C2	C4
C	2.2	C	5.0	C2.2 - Commit types (children)	C5 - Commit total line bugginess	32	32	boxplots	CC	C2	C5
C	2.2	C	6.0	C2.2 - Commit types (children)	C6 - Commit file line bugginess	32	32	boxplots	CC	C2	C6
C	2.2	F	4.0	C2.2 - Commit types (children)	F4 - # Bug discussants	32	32	boxplots	CF	C2	F4
C	2.2	F	9.0	C2.2 - Commit types (children)	F9 - # Bug comments [sum]	32	32	boxplots	CF	C2	F9
C	2.2	I	5.0	C2.2 - Commit types (children)	I5 - # Introducing issue discussants [sum]	31	31	boxplots	CI	C2	I5
C	2.2	I	7.0	C2.2 - Commit types (children)	I7 - # Introducing issue commits [sum]	3.3 (pd, ovr)	3	boxplots	CI	C2	I7
C	2.2	I	10.0	C2.2 - Commit types (children)	I10 - # Introducing issue comments [sum]	31	31	boxplots	CI	C2	I10
C	2.2	ML	2.0	C2.2 - Commit types (children)	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C2	ML2
C	2.2	ML	5.0	C2.2 - Commit types (children)	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C2	ML5
C	2.2	O	3.0	C2.2 - Commit types (children)	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C2	O3
C	2.2	R	3.0	C2.2 - Commit types (children)	R3 - # Reviewers [sum]	2.2 (pd, ovr)	2	boxplots	CR	C2	R3
C	2.2	R	5.0	C2.2 - Commit types (children)	R5 - # Review comments [sum]	2.2 (pd, ovr)	2	boxplots	CR	C2	R5
C	2.2	R	6.0	C2.2 - Commit types (children)	R6 - # Rounds of code review [sum]	2.2 (pd, ovr)	2	boxplots	CR	C2	R6
C	2.3	C	3.0	C2.3 - Commit types (parents)	C3 - # Files changed	3.3 (pd, ovr)	3	boxplots	CC	C2	C3
C	2.3	C	4.0	C2.3 - Commit types (parents)	C4 - Commit file bugginess	31	31	boxplots	CC	C2	C4
C	2.3	C	5.0	C2.3 - Commit types (parents)	C5 - Commit total line bugginess	31	31	boxplots	CC	C2	C5
C	2.3	C	6.0	C2.3 - Commit types (parents)	C6 - Commit file line bugginess	32	32	boxplots	CC	C2	C6
C	2.3	F	4.0	C2.3 - Commit types (parents)	F4 - # Bug discussants	32	32	boxplots	CF	C2	F4
C	2.3	F	9.0	C2.3 - Commit types (parents)	F9 - # Bug comments [sum]	32	32	boxplots	CF	C2	F9
C	2.3	I	5.0	C2.3 - Commit types (parents)	I5 - # Introducing issue discussants [sum]	32	32	boxplots	CI	C2	I5
C	2.3	I	7.0	C2.3 - Commit types (parents)	I7 - # Introducing issue commits [sum]	1 (pd, ovr)	1	boxplots	CI	C2	I7
C	2.3	I	10.0	C2.3 - Commit types (parents)	I10 - # Introducing issue comments [sum]	31	31	boxplots	CI	C2	I10
C	2.3	ML	2.0	C2.3 - Commit types (parents)	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C2	ML2
C	2.3	ML	5.0	C2.3 - Commit types (parents)	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C2	ML5
C	2.3	O	3.0	C2.3 - Commit types (parents)	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C2	O3
C	2.3	R	3.0	C2.3 - Commit types (parents)	R3 - # Reviewers [sum]	2.2 (pd, ovr)	2	boxplots	CR	C2	R3
C	2.3	R	5.0	C2.3 - Commit types (parents)	R5 - # Review comments [sum]	2.2 (pd, ovr)	2	boxplots	CR	C2	R5
C	2.3	R	6.0	C2.3 - Commit types (parents)	R6 - # Rounds of code review [sum]	2.2 (pd, ovr)	2	boxplots	CR	C2	R6
C	7.0	C	3.0	C7 - Committer type	C3 - # Files changed	1	1	boxplots	CC	C7	C3
C	7.0	C	4.0	C7 - Committer type	C4 - Commit file bugginess	31	31	boxplots	CC	C7	C4
C	7.0	C	5.0	C7 - Committer type	C5 - Commit total line bugginess	31	31	boxplots	CC	C7	C5
C	7.0	C	6.0	C7 - Committer type	C6 - Commit file line bugginess	31	31	boxplots	CC	C7	C6
C	7.0	F	4.0	C7 - Committer type	F4 - # Bug discussants	31	31	boxplots	CF	C7	F4
C	7.0	F	9.0	C7 - Committer type	F9 - # Bug comments [sum]	31	31	boxplots	CF	C7	F9
C	7.0	I	5.0	C7 - Committer type	I5 - # Introducing issue discussants [sum]	E	E	boxplots	CI	C7	I5
C	7.0	I	7.0	C7 - Committer type	I7 - # Introducing issue commits [sum]	32	32	boxplots	CI	C7	I7
C	7.0	I	10.0	C7 - Committer type	I10 - # Introducing issue comments [sum]	E	E	boxplots	CI	C7	I10
C	7.0	ML	2.0	C7 - Committer type	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C7	ML2
