F1 - Bug ID,C1 - Commit revision hash,C3 - # Files changed,XC1 - Files found / Files expected,XC2 - Files found,XC3 - Files not found,XC4 - Files expected,XC5 - Lines added,XC6 - Lines deleted,C7 - Committer type,C4 - Commit file bugginess,C5 - Commit total line bugginess,C6 - Commit file line bugginess
Elastic Search 8893 - CG,4f131dfffbdadf5c5f9c9b7a03f9660233e04f72,2,0/0,0,,,28,65,core,,,
Elastic Search 9317,5714b0a7adc96ac7bed92b8b5938d0885c32062a,1,1/1,src/main/java/org/elasticsearch/search/aggregations/bucket/nested/NestedAggregator.java,,src/main/java/org/elasticsearch/search/aggregations/bucket/nested/NestedAggregator.java,36,21,core,1.0,1.0,0.31843575418994413
Elastic Search 9317 - CG,bb49554c33b310e0e615c12befe8846a7d27c951,2,0/0,0,,,8,4,core,,,
NOVA 1294939,542958fac7445a14deaae146b0d4047aa90a2fab,2,1/1,nova/network/manager.py,,nova/network/manager.py,28,25,core,0.5,0.8490566037735849,0.023231801755291687
NOVA 1294939 - CG,8218a86dedd50301252598667171d17d874bb36d,3,0/0,0,,,31,12,core,,,
NOVA 1300788,e517e5668ab20214432e06ef87f7b16776edaf7c,4,1/1,nova/virt/vmwareapi/vmops.py,,nova/virt/vmwareapi/vmops.py,86,94,core,0.25,0.5444444444444444,0.07608695652173914
NOVA 1300788 - CG,ba1ed8958b6bde0d8b9f5862a83ac7e1a33e8313,1,0/0,0,,,108,61,peripheral,,,
NOVA 1307791,3dff43356619b4a935a5f395b066e96e8856bb4f,3,1/1,nova/compute/api.py,,nova/compute/api.py,134,45,core,0.3333333333333333,0.3016759776536313,0.019650655021834062
NOVA 1307791 - CG,27a5753dd3766b5535e0248d48c9bb555379dd12,2,0/0,0,,,4,2,peripheral,,,
NOVA 1314677,88ab9369e3ddfd8b8684bf280330ff8d37a74b2b,14,1/1,nova/cells/state.py,,nova/cells/state.py,401,83,peripheral,0.07142857142857142,0.35537190082644626,0.35537190082644626
NOVA 1314677 - CG,ae1040232dc681d718d940af11108322044a23be,1,0/0,0,,,15,13,core,,,
NOVA 1336127,2c62e344e26ccba08d5c613a7c4a40a0f076901e,2,1/1,nova/compute/manager.py,,nova/compute/manager.py,187,37,core,0.5,0.38839285714285715,0.01687681862269641
NOVA 1336127 - CG,90a37c069ede9d9b23ff6faef4ea6e48bbd7ebce,6,0/0,0,,,177,177,core,,,
NOVA 1343080,e7aa4022374fb35d2131a7c633212c5d6302db3d,13,1/22,nova/api/openstack/images.py,"doc/api_samples/OS-DCF/image-get-resp.json
doc/api_samples/OS-DCF/image-get-resp.xml
doc/api_samples/OS-DCF/image-list-resp.json
doc/api_samples/OS-DCF/image-list-resp.xml
doc/api_samples/OS-EXT-IMG-SIZE/image-get-resp.json
doc/api_samples/OS-EXT-IMG-SIZE/image-get-resp.xml
doc/api_samples/OS-EXT-IMG-SIZE/images-details-get-resp.json
doc/api_samples/OS-EXT-IMG-SIZE/images-details-get-resp.xml
doc/api_samples/image-get-resp.json
doc/api_samples/image-get-resp.xml
doc/api_samples/images-details-get-resp.json
doc/api_samples/images-details-get-resp.xml
doc/api_samples/images-list-get-resp.json
doc/api_samples/images-list-get-resp.xml
doc/v3/api_samples/image-size/image-get-resp.json
doc/v3/api_samples/image-size/images-details-get-resp.json
doc/v3/api_samples/images/image-get-resp.json
doc/v3/api_samples/images/images-details-get-resp.json
doc/v3/api_samples/images/images-list-get-resp.json
doc/v3/api_samples/os-disk-config/image-get-resp.json
doc/v3/api_samples/os-disk-config/image-list-resp.json
nova/api/openstack/compute/views/images.py","doc/api_samples/OS-DCF/image-get-resp.json
doc/api_samples/OS-DCF/image-get-resp.xml
doc/api_samples/OS-DCF/image-list-resp.json
doc/api_samples/OS-DCF/image-list-resp.xml
doc/api_samples/OS-EXT-IMG-SIZE/image-get-resp.json
doc/api_samples/OS-EXT-IMG-SIZE/image-get-resp.xml
doc/api_samples/OS-EXT-IMG-SIZE/images-details-get-resp.json
doc/api_samples/OS-EXT-IMG-SIZE/images-details-get-resp.xml
doc/api_samples/image-get-resp.json
doc/api_samples/image-get-resp.xml
doc/api_samples/images-details-get-resp.json
doc/api_samples/images-details-get-resp.xml
doc/api_samples/images-list-get-resp.json
doc/api_samples/images-list-get-resp.xml
doc/v3/api_samples/image-size/image-get-resp.json
doc/v3/api_samples/image-size/images-details-get-resp.json
doc/v3/api_samples/images/image-get-resp.json
doc/v3/api_samples/images/images-details-get-resp.json
doc/v3/api_samples/images/images-list-get-resp.json
doc/v3/api_samples/os-disk-config/image-get-resp.json
doc/v3/api_samples/os-disk-config/image-list-resp.json
nova/api/openstack/compute/views/images.py",516,606,core,0.07692307692307693,0.01871657754010695,0.0995260663507109
NOVA 1343080 - CG,475f3624245500c5382faf5b2708a59fcec2c9ad,4,0/0,0,,,83,48,core,,,
NOVA 1367363,0fcbb7b286888d642d329db1299eb9f3708d1f50,2,1/1,nova/virt/libvirt/driver.py,,nova/virt/libvirt/driver.py,29,7,peripheral,0.5,0.5,0.0035664751337428175
NOVA 1367363 - CG,6ed6be8435284daf39ef1b8323e213c7885852c6,1,0/0,0,,,11,14,core,,,
NOVA 1370177,33e3d4c6b9e0b11500fe47d861110be1c1981572,7,1/1,nova/block_device.py,,nova/block_device.py,249,63,core,0.14285714285714285,0.09615384615384616,0.05628517823639775
