F1 - Bug ID,F2 - Bug severity [max],F3 - Bug labels,F4 - # Bug discussants,F4.1 - Bug discussant roles,F4.2 - Bug reporter role [max],F4.3 - Bug assignee role [max],F4.4 - Bug creator role [max],F8 - Bug reopened [any],F9 - # Bug comments [sum],F10 - # Bug comments after closed (first) [sum],F11 - # Bug comments after closed (last) [sum]
NOVA 1343080,Low,['low-hanging-fruit'],4,"['not involved', 'core', 'not involved', 'core']",core,core,core,False,5,0,0
NOVA 1367363,Medium,['libvirt'],2,"['core', 'not involved']",core,core,core,False,2,0,0
NOVA 1370177,Medium,"['volumes', 'snapshots', 'ec2']",7,"['core', 'core', 'peripheral', 'not involved', 'core', 'core', 'peripheral']",core,core,core,False,17,1,1
NOVA 1370590,High,"['libvirt', 'lxc']",8,"['core', 'not involved', 'core', 'core', 'not involved', 'peripheral', 'not involved', 'not involved']",core,core,core,True,25,16,0
NOVA 1371677,Critical,"['volumes', 'libvirt', 'lvm', 'compute']",12,"['core', 'not involved', 'core', 'core', 'not involved', 'core', 'core', 'peripheral', 'core', 'core', 'not involved', 'not involved']",core,not involved,core,False,39,4,4
NOVA 1375379,Undecided,['console'],2,"['core', 'not involved']",core,core,core,False,2,0,0
NOVA 1381468,High,"['in-stable-juno', 'low-hanging-fruit', 'in-stable-icehouse', 'nova']",2,"['not involved', 'not involved']",not involved,not involved,not involved,False,7,4,4
NOVA 1392798,Undecided,[],2,"['peripheral', 'not involved']",peripheral,peripheral,peripheral,False,2,0,0
NOVA 1402535,Low,"['volumes', 'libvirt']",3,"['not involved', 'not involved', 'not involved']",not involved,not involved,not involved,False,4,0,0
NOVA 1402728,High,['vmware'],2,"['not involved', 'not involved']",not involved,not involved,not involved,False,3,0,0
NOVA 1403544,Medium,['compute'],2,"['peripheral', 'not involved']",peripheral,peripheral,peripheral,False,7,2,2
NOVA 1419002,Low,[],3,"['peripheral', 'not involved', 'not involved']",not involved,peripheral,not involved,False,2,0,0
NOVA 1424647,Medium,[],5,"['not involved', 'not involved', 'not involved', 'peripheral', 'not involved']",peripheral,peripheral,peripheral,False,5,0,0
NOVA 1434855,Medium,['documentation'],2,"['core', 'not involved']",core,core,core,False,2,0,0
NOVA 1437855,Medium,"['in-stable-kilo', 'network', 'api']",3,"['not involved', 'peripheral', 'not involved']",peripheral,peripheral,peripheral,False,5,0,0
NOVA 1438331,Medium,['ceph'],3,"['peripheral', 'peripheral', 'not involved']",peripheral,peripheral,peripheral,False,4,2,2
NOVA 1441000,Undecided,['libvirt'],3,"['not involved', 'core', 'not involved']",core,core,core,False,4,0,0
NOVA 1443697,Medium,['vmware'],2,"['not involved', 'core']",core,core,core,False,2,0,0
NOVA 1443970,Medium,"['nova-manage', 'network']",5,"['core', 'core', 'not involved', 'not involved', 'not involved']",core,core,core,False,9,2,2
NOVA 1447249,Medium,"['in-stable-kilo', 'ironic']",2,"['peripheral', 'not involved']",peripheral,peripheral,peripheral,False,4,0,0
NOVA 1453274,Medium,[],2,"['peripheral', 'not involved']",peripheral,peripheral,peripheral,False,6,0,0
NOVA 1466390,High,[],2,"['not involved', 'core']",core,core,core,False,2,0,0
NOVA 1467451,Low,"['kilo-backport-potential', 'in-stable-kilo', 'hyper-v']",2,"['peripheral', 'not involved']",peripheral,peripheral,peripheral,False,3,0,0
NOVA 1475356,High,"['unified-objects', 'kilo-backport-potential']",4,"['not involved', 'not involved', 'core', 'core']",not involved,core,not involved,False,6,1,1
NOVA 1475911,Low,"['containers', 'cmd-tools']",4,"['core', 'not involved', 'not involved', 'peripheral']",peripheral,peripheral,peripheral,False,7,0,0
NOVA 1481078,Undecided,[],3,"['not involved', 'not involved', 'not involved']",not involved,not involved,not involved,False,2,0,0
NOVA 1486541,Medium,['cells'],2,"['core', 'not involved']",core,core,core,False,2,0,0
NOVA 1505471,High,"['conductor', 'in-stable-liberty', 'db']",5,"['peripheral', 'peripheral', 'peripheral', 'not involved', 'not involved']",peripheral,peripheral,peripheral,False,8,3,3
