F1 - Bug ID,XR1 - Reviews,R3 - # Reviewers [sum],R4 - Reviewer types,R5 - # Review comments [sum],R6 - # Rounds of code review [sum],R11 - # Review comments after closed (first) [sum],R12 - # Review comments after closed (last) [sum],R1 - Code review IDs
NOVA 1381468,,14.0,"{'core', 'not involved', 'peripheral'}",47.0,4.0,,,['124714']
NOVA 1381468 - CG,,8.0,"{'core', 'not involved'}",21.0,3.0,,,['123682']
NOVA 1392798,,8.0,"{'core', 'not involved'}",42.0,4.0,,,['22897']
NOVA 1392798 - CG,,9.0,"{'core', 'not involved', 'peripheral'}",24.0,3.0,,,['19457']
NOVA 1402535,,9.0,"{'core', 'not involved', 'peripheral'}",70.0,15.0,,,['17946']
NOVA 1402535 - CG,,6.0,"{'core', 'not involved'}",18.0,3.0,,,['24363']
NOVA 1402728,,15.0,"{'core', 'not involved', 'peripheral'}",125.0,9.0,,,['107009']
NOVA 1402728 - CG,,8.0,"{'core', 'not involved'}",19.0,1.0,,,['120675']
NOVA 1403544,,,,,,,,[]
NOVA 1403544 - CG,,,,,,,,[]
NOVA 1419002,,,,,,,,[]
NOVA 1419002 - CG,,,,,,,,[]
NOVA 1424647,,20.0,"{'core', 'not involved', 'peripheral'}",108.0,11.0,,,['119396']
NOVA 1424647 - CG,,9.0,"{'not involved', 'peripheral'}",39.0,6.0,,,['136717']
NOVA 1434855,,17.0,"{'core', 'not involved', 'peripheral'}",151.0,16.0,,,['155853']
NOVA 1434855 - CG,,13.0,"{'core', 'not involved', 'peripheral'}",28.0,2.0,,,['155678']
NOVA 1437855,,8.0,"{'core', 'not involved', 'peripheral'}",71.0,15.0,,,['26113']
NOVA 1437855 - CG,,4.0,"{'core', 'not involved', 'peripheral'}",7.0,1.0,,,['28774']
NOVA 1438331,,15.0,"{'core', 'not involved'}",311.0,35.0,,,['94294']
NOVA 1438331 - CG,,9.0,"{'core', 'not involved'}",31.0,2.0,,,['113741']
NOVA 1441000,,15.0,"{'core', 'not involved', 'peripheral'}",123.0,8.0,,,['151664']
NOVA 1441000 - CG,,14.0,"{'core', 'not involved', 'peripheral'}",113.0,14.0,,,['132231']
NOVA 1443697,,17.0,"{'core', 'not involved', 'peripheral'}",171.0,15.0,,,['145007']
NOVA 1443697 - CG,,14.0,"{'core', 'not involved', 'peripheral'}",82.0,10.0,,,['150293']
NOVA 1443970,,15.0,"{'core', 'not involved'}",109.0,8.0,,,['93754']
NOVA 1443970 - CG,,11.0,"{'core', 'not involved', 'peripheral'}",82.0,7.0,,,['94811']
NOVA 1447249,,18.0,"{'core', 'not involved', 'peripheral'}",151.0,13.0,,,['144792']
NOVA 1447249 - CG,,11.0,"{'core', 'not involved', 'peripheral'}",34.0,3.0,,,['142282']
NOVA 1453274,,11.0,"{'core', 'not involved'}",86.0,6.0,,,['102324']
NOVA 1453274 - CG,,14.0,"{'core', 'not involved', 'peripheral'}",98.0,6.0,,,['109489']
NOVA 1466390,,17.0,"{'core', 'not involved', 'peripheral'}",394.0,44.0,,,['28880']
NOVA 1466390 - CG,,11.0,"{'core', 'not involved', 'peripheral'}",40.0,4.0,,,"['30201', '32717']"
NOVA 1467451,,14.0,"{'core', 'not involved', 'peripheral'}",154.0,11.0,,,['129235']
NOVA 1467451 - CG,,14.0,"{'core', 'not involved', 'peripheral'}",30.0,1.0,,,['140337']
NOVA 1475356,,7.0,"{'core', 'not involved', 'peripheral'}",49.0,9.0,,,['59560']
NOVA 1475356 - CG,,10.0,"{'core', 'not involved', 'peripheral'}",23.0,3.0,,,['64289']
NOVA 1475911,,13.0,"{'core', 'not involved'}",75.0,8.0,,,['113545']
NOVA 1475911 - CG,,11.0,{'not involved'},37.0,3.0,,,['113772']
NOVA 1481078,,14.0,"{'core', 'not involved', 'peripheral'}",91.0,12.0,,,['164940']
NOVA 1481078 - CG,,15.0,"{'core', 'not involved', 'peripheral'}",25.0,2.0,,,['175551']
NOVA 1486541,,18.0,"{'core', 'not involved', 'peripheral'}",188.0,23.0,,,['70747']
NOVA 1486541 - CG,,19.0,"{'core', 'not involved', 'peripheral'}",75.0,7.0,,,['63612']
NOVA 1505471,,12.0,"{'core', 'not involved', 'peripheral'}",136.0,17.0,,,['10903']
NOVA 1505471 - CG,,4.0,{'not involved'},9.0,1.0,,,['17839']
