F1 - Bug ID,I1 - Introducing issues IDs,I3 - Introducing issue severity [max],I4 - Introducing issue labels,I5.2 - Introducing issue reporter role [max],I5.3 - Introducing issue assignee role [max],I5.4 - Introducing issue creator role [max],I7 - # Introducing issue commits [sum],I9 - Introducing issue reopened [any],I5 - # Introducing issue discussants [sum],I5.1 - Introducing issue discussant roles,I10 - # Introducing issue comments [sum],I11 - # Introducing issue comments after closed (first) [sum],I12 - # Introducing issue comments after closed (last) [sum]
Elastic Search 8125,['6410'],,"['v2.0.0-beta1', 'blocker', 'v1.4.0.Beta1', '>bug']",not involved,core,not involved,6.0,False,6.0,"['not involved', 'not involved', 'core', 'not involved', 'not involved', 'not involved']",5.0,0.0,0.0
Elastic Search 8125 - CG,,,,,,,,,,,,,
Elastic Search 8438,['6118'],,"['v2.0.0-beta1', '>feature', 'release highlight', 'v1.4.0.Beta1']",not involved,not involved,not involved,2.0,False,4.0,"['not involved', 'core', 'not involved', 'not involved']",4.0,0.0,0.0
Elastic Search 8438 - CG,['21'],,"['>feature', 'v0.05.0']",core,,core,11.0,False,2.0,"['core', 'not involved']",10.0,0.0,0.0
Elastic Search 8507,['6908'],,"['v2.0.0-beta1', '>enhancement', ':Search/Search', 'v1.4.0.Beta1']",not involved,,not involved,11.0,False,3.0,"['core', 'core', 'not involved']",12.0,0.0,0.0
Elastic Search 8507 - CG,['7067'],,"['v2.0.0-beta1', ':Distributed/Discovery-Plugins', 'v1.4.0.Beta1', '>bug']",not involved,not involved,not involved,3.0,False,2.0,"['core', 'not involved']",2.0,0.0,0.0
Elastic Search 8526,['2778'],,[],not involved,,not involved,2.0,False,2.0,"['not involved', 'not involved']",1.0,0.0,0.0
Elastic Search 8526 - CG,,,,,,,,,,,,,
Elastic Search 8580,['6908'],,"['v2.0.0-beta1', '>enhancement', ':Search/Search', 'v1.4.0.Beta1']",not involved,,not involved,11.0,False,3.0,"['core', 'core', 'not involved']",12.0,0.0,0.0
Elastic Search 8580 - CG,['6849'],,"['v2.0.0-beta1', 'v1.3.0', '>bug']",not involved,,not involved,3.0,False,2.0,"['core', 'not involved']",2.0,0.0,0.0
Elastic Search 864,['88'],,"['>feature', 'v0.06.0']",core,,core,2.0,False,2.0,"['core', 'not involved']",2.0,0.0,0.0
Elastic Search 864 - CG,,,,,,,,,,,,,
Elastic Search 8893,"['4718', '7036']",,"['v1.4.0.Beta1', '>feature', '>bug', ':Search/Mapping', 'v2.0.0-beta1']",core,core,core,7.0,False,6.0,"['not involved', 'not involved', 'not involved', 'core', 'not involved', 'core']",17.0,2.0,2.0
Elastic Search 8893 - CG,,,,,,,,,,,,,
Elastic Search 9317,['8454'],,"[':Search/Search', 'v1.4.1', '>bug', 'v1.5.0', 'v2.0.0-beta1']",core,,core,3.0,False,2.0,"['not involved', 'core']",6.0,0.0,0.0
Elastic Search 9317 - CG,,,,,,,,,,,,,
NOVA 1294939,['nova-network-objects'],Medium,[],not involved,peripheral,,50.0,False,,,,,
NOVA 1294939 - CG,['compute-manager-objects'],Medium,[],peripheral,peripheral,peripheral,44.0,False,,,,,
NOVA 1300788,['1186944'],Medium,['vmware'],not involved,not involved,not involved,2.0,False,4.0,"['not involved', 'peripheral', 'not involved', 'not involved']",7.0,2.0,2.0
NOVA 1300788 - CG,,,,,,,,,,,,,
NOVA 1307791,['1067214'],Medium,['verification-needed'],peripheral,core,peripheral,2.0,False,6.0,"['peripheral', 'not involved', 'not involved', 'core', 'not involved', 'core']",11.0,2.0,2.0
NOVA 1307791 - CG,['884842'],Medium,['forward-port-needed'],not involved,not involved,not involved,1.0,False,3.0,"['not involved', 'not involved', 'not involved']",3.0,0.0,0.0
